Name,Algorithm,Time Elapsed,Inertia,Adjusted Rand Index,Mutual Information Score,V-Measure,Folkes-Mallows Score
g2-8-10,Bisecting K-Means (largest split),0.069996,1634146.454,1,0.693147181,1,1
g2-8-10,Bisecting K-Means (worst split),0.134002,1634146.454,1,0.693147181,1,1
g2-8-20,K-Means,0.067005,6527511.586,1,0.693147181,1,1
g2-8-20,Bisecting K-Means (largest split),0.080006,6527511.586,1,0.693147181,1,1
g2-8-20,Bisecting K-Means (worst split),0.077006,6527511.586,1,0.693147181,1,1
g2-8-30,K-Means,0.068,14685616.26,1,0.693147181,1,1
g2-8-30,Bisecting K-Means (largest split),0.078002,14685616.26,1,0.693147181,1,1
g2-8-30,Bisecting K-Means (worst split),0.086,14685616.26,1,0.693147181,1,1
g2-8-40,K-Means,0.067001,26350901.33,1,0.693147181,1,1
g2-8-40,Bisecting K-Means (largest split),0.081004,26350901.33,1,0.693147181,1,1
g2-8-40,Bisecting K-Means (worst split),0.081002,26350901.33,1,0.693147181,1,1
g2-8-50,K-Means,0.067001,40597226.74,1,0.693147181,1,1
g2-8-50,Bisecting K-Means (largest split),0.086006,40597226.74,1,0.693147181,1,1
g2-8-50,Bisecting K-Means (worst split),0.093003,40597226.74,1,0.693147181,1,1
g2-8-60,K-Means,0.093002,58878656.32,1,0.693142889,1,1
g2-8-60,Bisecting K-Means (largest split),0.076001,58878656.32,1,0.693142889,1,1
g2-8-60,Bisecting K-Means (worst split),0.079706,58878656.32,1,0.693142889,1,1
g2-8-70,K-Means,0.073998,80438585.37,1,0.693066593,1,1
g2-8-70,Bisecting K-Means (largest split),0.096997,80438585.37,1,0.693066593,1,1
g2-8-70,Bisecting K-Means (worst split),0.079998,80438585.37,1,0.693066593,1,1
g2-8-80,K-Means,0.088001,101879278.4,0.996095657,0.68607374,0.989801992,0.998046894
g2-8-80,Bisecting K-Means (largest split),0.097994,101879278.4,0.996095657,0.68607374,0.989801992,0.998046894
g2-8-80,Bisecting K-Means (worst split),0.086979,101879278.4,0.996095657,0.68607374,0.989801992,0.998046894
g2-8-90,K-Means,0.091005,131040811.2,1,0.693116663,1,1
g2-8-90,Bisecting K-Means (largest split),0.107995,131040803.3,0.998046875,0.689247463,0.994412548,0.999023013
g2-8-90,Bisecting K-Means (worst split),0.134249,131040769.4,0.996095658,0.686054685,0.989801738,0.998046968
g2-8-100,K-Means,0.148045,162983889.7,0.998046875,0.689271294,0.994412724,0.999022966
g2-8-100,Bisecting K-Means (largest split),0.103998,162983889.7,0.998046875,0.689271294,0.994412724,0.999022966
g2-8-100,Bisecting K-Means (worst split),0.104994,162983889.7,0.998046875,0.689271294,0.994412724,0.999022966
g2-16-10,K-Means,0.118999,3276611.647,1,0.693147181,1,1
g2-16-10,Bisecting K-Means (largest split),0.076929,3276611.647,1,0.693147181,1,1
g2-16-10,Bisecting K-Means (worst split),0.077984,3276611.647,1,0.693147181,1,1
g2-16-20,K-Means,0.092993,13122968.5,1,0.693147181,1,1
g2-16-20,Bisecting K-Means (largest split),0.075005,13122968.5,1,0.693147181,1,1
g2-16-20,Bisecting K-Means (worst split),0.081002,13122968.5,1,0.693147181,1,1
g2-16-30,K-Means,0.091017,29198738.53,1,0.693147181,1,1
g2-16-30,Bisecting K-Means (largest split),0.071995,29198738.53,1,0.693147181,1,1
g2-16-30,Bisecting K-Means (worst split),0.075904,29198738.53,1,0.693147181,1,1
g2-16-40,K-Means,0.080988,52032324.13,1,0.693147181,1,1
g2-16-40,Bisecting K-Means (largest split),0.070019,52032324.13,1,0.693147181,1,1
g2-16-40,Bisecting K-Means (worst split),0.080998,52032324.13,1,0.693147181,1,1
g2-16-50,K-Means,0.133013,81344118.4,1,0.693147181,1,1
